Sample in Buffer,Sample in Window,TRIGGER,dbg_sd_clk_o,dbg_sd_cmd_en_o,dbg_sd_cmd_i,dbg_sd_dat_en_o,dbg_sd_dat_i[3:0],i_croc_soc/i_croc/i_adc_acquisition_top/dbg_adc_clk,i_croc_soc/i_croc/i_adc_acquisition_top/dbg_adc_data[13:0],i_croc_soc/i_croc/i_adc_acquisition_top/dbg_adc_data_word[31:0],i_croc_soc/i_croc/i_adc_acquisition_top/dbg_dma_address[31:0],i_croc_soc/i_croc/i_adc_acquisition_top/dbg_dma_data[31:0],i_croc_soc/i_croc/i_adc_acquisition_top/dbg_dma_push,i_croc_soc/i_croc/i_adc_acquisition_top/dbg_mode[7:0],i_croc_soc/i_croc/i_adc_acquisition_top/dbg_mode_active,i_croc_soc/i_croc/i_adc_acquisition_top/dbg_status[4:0],i_croc_soc/i_croc/i_adc_acquisition_top/dbg_write_head[29:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_autocmd_wrap/i_cmd_logic/cmd_state_d[2:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_autocmd_wrap/i_cmd_logic/cmd_state_q[2:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/buffer_empty,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/buffer_read_ready,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/buffer_read_valid,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/buffer_write_ready,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/buffer_write_valid,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/busy_state_d[2:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/busy_state_q[2:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/busy_waiting,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/cmd_data_present_i,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/cmd_started_i,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/cmd_transfer_direction_i,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/dat_i[3:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/dat_state_d[1:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/dat_state_q[1:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/accepts_data_port_chunk,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/current_word_counter_d[9:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/current_word_counter_q[9:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/enable_reg,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/read_operation_i,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/reg_empty,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/reg_full,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/reg_length[8:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/reg_pop,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/reg_push,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/single_block_done_d,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/single_block_done_q,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/write_operation_i,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/pause_sd_clk_read,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/pause_sd_clk_write,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/read_state_d[2:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/read_state_q[2:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/read_waiting,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/run_timeout_clock,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/sd_cmd_done_i,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/sd_rsp_done_i,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/timeout_elapsed,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/write_state_d[2:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/write_state_q[2:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/write_waiting,vio_gpio,vio_reset
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,1,0,1,0,f,1,06d2,06cf06ce,10002000,06cf06ce,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,f,0,06d2,06cf06ce,10002000,06cf06ce,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,1,0,1,0,f,1,06d2,06cf06ce,10002000,06cf06ce,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,0,1,0,f,1,06d3,06d106d0,10002000,06d106d0,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,1,0,1,0,f,0,06d3,06d106d0,10002000,06d106d0,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,0,1,0,f,1,06d4,06d106d0,10002000,06d106d0,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,0,1,0,1,0,f,0,06d4,06d106d0,10002000,06d106d0,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,0,0,0,1,0,f,1,06d5,06d106d0,10002000,06d106d0,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,0,1,0,1,0,f,0,06d5,06d306d2,10002000,06d306d2,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,0,0,0,1,0,f,1,06d7,06d306d2,10002000,06d306d2,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,0,1,0,1,0,f,0,06d6,06d306d2,10002000,06d306d2,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,0,0,0,1,0,f,0,06d6,06d306d2,10002000,06d306d2,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,0,1,0,1,0,f,1,06d7,06d506d4,10002000,06d506d4,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,0,0,0,1,0,f,0,06d7,06d506d4,10002000,06d506d4,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,0,1,0,1,0,f,1,06d8,06d506d4,10002000,06d506d4,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,0,0,0,1,0,f,0,06d8,06d506d4,10002000,06d506d4,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,0,1,0,1,0,f,1,06d9,06d506d4,10002000,06d506d4,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,0,0,0,1,0,f,0,06d9,06d706d6,10002000,06d706d6,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
